[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
286:(10/13),0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.24,0.40,0.49,0.55,0.52,0.46,0.34,0.23,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
287:(10/14),0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.28,0.33,0.36,0.40,0.41,0.38,0.30,0.21,0.12,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.0
288:(10/15),0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.21,0.27,0.30,0.37,0.37,0.34,0.28,0.20,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.7
289:(10/16),0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.16,0.23,0.38,0.51,0.40,0.43,0.36,0.20,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.9
290:(10/17),0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.20,0.23,0.25,0.25,0.26,0.26,0.23,0.20,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.2
291:(10/18),0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.27,0.38,0.45,0.51,0.46,0.32,0.32,0.15,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.1
292:(10/19),0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.27,0.37,0.46,0.48,0.52,0.45,0.36,0.20,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4
293:(10/20),0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.26,0.38,0.33,0.20,0.19,0.17,0.14,0.12,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0
294:(10/21),0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.14,0.18,0.23,0.26,0.26,0.25,0.20,0.15,0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
295:(10/22),0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.12,0.11,0.18,0.36,0.51,0.44,0.29,0.21,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.4
