[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
015:(01/15),0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.40,1.71,2.02,2.21,2.33,2.39,2.48,1.66,0.70,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.1
016:(01/16),0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.30,2.09,2.35,2.41,2.35,2.20,1.93,1.20,0.60,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.7
017:(01/17),0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.27,1.72,1.88,1.85,1.91,0.29,0.01,0.01,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.2
018:(01/18),0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.92,2.38,1.69,2.61,2.84,2.28,2.39,2.63,1.84,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.3
019:(01/19),0.00,0.00,0.00,0.00,0.00,0.00,0.48,1.57,2.25,2.56,2.68,2.68,2.78,2.56,1.82,0.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.3
020:(01/20),0.00,0.00,0.00,0.00,0.00,0.00,0.34,1.32,1.87,2.31,2.42,2.32,2.24,1.99,1.48,0.63,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.9
021:(01/21),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.07,0.05,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3
022:(01/22),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.17,0.12,0.07,0.05,0.10,0.15,0.12,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.1
023:(01/23),0.00,0.00,0.00,0.00,0.00,0.00,0.86,1.95,2.73,3.15,3.26,3.28,3.27,3.16,2.92,2.09,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.8
024:(01/24),0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.33,1.70,2.05,1.89,0.62,0.36,0.58,0.97,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.5
025:(01/25),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.69,2.36,2.15,1.94,1.58,1.26,1.22,0.77,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0
026:(01/26),0.00,0.00,0.00,0.00,0.00,0.00,0.86,1.65,2.42,2.77,2.88,2.97,3.00,2.86,2.48,1.55,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.5
027:(01/27),0.00,0.00,0.00,0.00,0.00,0.00,1.24,2.04,2.64,2.90,0.94,1.05,1.23,2.90,1.08,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.2
028:(01/28),0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.84,2.58,3.02,3.01,3.01,3.09,3.00,2.76,1.90,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.6
029:(01/29),0.00,0.00,0.00,0.00,0.00,0.00,1.05,1.79,2.49,2.51,2.48,2.64,2.48,1.79,1.09,0.67,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.1
030:(01/30),0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.87,2.59,3.00,3.13,3.05,2.55,1.51,0.67,0.43,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.2
031:(01/31),0.00,0.00,0.00,0.00,0.00,0.00,1.05,1.67,2.28,2.50,2.72,2.83,2.86,2.65,1.99,0.85,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.4
