[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
012:(01/12),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
013:(01/13),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.61,1.36,1.90,2.16,2.13,1.83,1.39,0.31,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.7
014:(01/14),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.95,1.93,2.37,2.58,2.63,2.43,1.95,1.14,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.3
015:(01/15),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.23,1.19,1.57,1.82,1.95,1.94,1.87,1.10,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.1
016:(01/16),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.76,1.45,1.82,1.98,1.96,1.79,1.45,0.79,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.4
017:(01/17),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.74,1.19,1.45,1.52,1.59,0.23,0.01,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.9
018:(01/18),0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.11,1.64,1.30,2.14,2.36,1.84,1.79,1.73,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.2
019:(01/19),0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.90,1.54,1.96,2.19,2.23,2.24,1.91,1.19,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.9
020:(01/20),0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.75,1.28,1.77,1.97,1.92,1.80,1.48,0.97,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.4
021:(01/21),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.05,0.04,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2
022:(01/22),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.09,0.06,0.04,0.08,0.11,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.7
023:(01/23),0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.10,1.84,2.38,2.63,2.70,2.61,2.34,1.89,1.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.0
024:(01/24),0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.74,1.14,1.55,1.52,0.51,0.29,0.43,0.63,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.3
025:(01/25),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.46,1.77,1.73,1.59,1.25,0.93,0.79,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.0
026:(01/26),0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.91,1.61,2.07,2.30,2.42,2.37,2.10,1.59,0.81,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.6
027:(01/27),0.00,0.00,0.00,0.00,0.00,0.00,0.52,1.12,1.75,2.16,0.75,0.85,0.97,2.12,0.69,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.0
028:(01/28),0.00,0.00,0.00,0.00,0.00,0.00,0.51,1.00,1.70,2.24,2.39,2.44,2.43,2.18,1.76,0.99,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.7
029:(01/29),0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.97,1.63,1.86,1.96,2.13,1.94,1.30,0.69,0.35,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3
030:(01/30),0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.01,1.69,2.21,2.47,2.45,1.99,1.09,0.42,0.22,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.1
031:(01/31),0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.89,1.48,1.83,2.14,2.27,2.23,1.91,1.25,0.43,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.9
032:(02/01),0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.73,1.21,1.42,1.36,1.13,0.85,0.70,0.51,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.4
033:(02/02),0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.55,1.40,2.04,2.27,2.31,1.98,0.86,0.32,0.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.3
034:(02/03),0.00,0.00,0.00,0.00,0.00,0.00,0.48,1.15,1.80,2.13,2.41,2.53,1.80,1.06,1.39,0.61,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.4
035:(02/04),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.32,1.18,1.43,1.31,1.42,1.01,0.27,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.3
036:(02/05),0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.96,1.61,2.07,2.32,2.41,2.36,2.12,1.69,1.02,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.5
037:(02/06),0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.16,0.81,0.93,1.35,1.77,1.62,1.37,1.02,0.57,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.9
038:(02/07),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.17,0.14,1.10,0.85,1.45,1.60,1.41,0.30,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.2
039:(02/08),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.38,0.80,1.09,0.45,0.88,1.33,1.37,1.48,0.99,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.3
040:(02/09),0.00,0.00,0.00,0.00,0.00,0.00,0.56,1.02,1.53,1.76,1.78,1.64,1.40,1.17,0.74,0.14,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.8
041:(02/10),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.01,0.05,0.07,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3
042:(02/11),0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.81,1.37,1.69,1.81,1.84,1.85,0.47,0.06,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.4
043:(02/12),0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.78,1.35,1.45,1.53,1.50,1.42,1.16,0.48,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.1
